created_at,model,input_tokens,output_tokens,cached_tokens,total_tokens,ttft,total_duration_s,tps,request_energy_j,request_energy_kwh,attribution_method,gpu_type,gpu_count,server_host,server_status,request_id
2026-05-09 07:40:33.360228,zai-org/GLM-5.1-FP8,55543,56,43264,55599,2.1378188133239746,2.6060030460357666,21.49,669.994918,0.000186110,prorated_token_pool_weighted_multi_gpu_8,B200,8,100.117.156.46,active,e936f357-a639-4310-960c-69ca9b0fbcbf
2026-05-09 07:05:49.13386,zai-org/GLM-5.1-FP8,13608,520,0,14128,1.2095484733581543,6.290634632110596,82.66,1122.870000,0.000311908,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.117.156.46,active,9857cf56-9810-4c75-8530-4c7163377325
2026-05-09 06:49:58.039462,zai-org/GLM-5.1-FP8,52311,105,52288,52416,3.46997332572937,5.390914678573608,19.48,555.310000,0.000154253,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.88.101.77,active,58a1b459-a0cb-4735-ad16-86c89c003a98
2026-05-09 06:25:05.536094,zai-org/GLM-5.1-FP8,4751,677,512,5428,1.1627981662750244,23.306779384613037,29.05,2560.143365,0.000711151,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.88.101.77,active,7909a2ce-9eb2-4a6e-b79f-f07a726e806d
2026-05-09 05:45:26.567996,zai-org/GLM-5.1-FP8,110363,52,91904,110415,23.549886226654053,38.52981162071228,1.35,8285.830000,0.002301619,counter_exact_token_pool_weighted_multi_gpu_8,H200,8,100.98.131.43,active,001cf6c4-45ab-41b7-9b34-2f22412e4506
2026-05-09 05:17:58.231068,zai-org/GLM-5.1-FP8,60107,5178,0,65285,4.802464962005615,117.78760194778442,43.96,29878.310000,0.008299531,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.91.121.110,active,fbf0325d-58bc-437c-ac33-2733ac062c57
2026-05-09 03:57:25.235946,zai-org/GLM-5.1-FP8,69167,3994,66432,73161,1.0531516075134277,125.32251787185669,31.87,26438.230000,0.007343953,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.88.101.77,active,20c636b0-dd0e-4318-a0f6-bd1528c74bd3
2026-05-09 03:10:11.239149,zai-org/GLM-5.1-FP8,9904,527,9088,10431,,12.184008121490479,43.25,2486.260000,0.000690628,counter_exact_token_pool_weighted_multi_gpu_8,H200,8,100.96.162.67,active,e299f426-2660-4258-a4af-efc305078ca1
2026-05-09 01:15:02.702475,zai-org/GLM-5.1-FP8,45315,448,15360,45763,13.022742748260498,22.000463485717773,20.36,4186.280000,0.001162856,counter_exact_token_pool_weighted_multi_gpu_8,H200,8,100.98.131.43,active,0d6f8ef9-a7af-4027-83e3-7e91857300c0
2026-05-08 22:08:25.519727,zai-org/GLM-5.1-FP8,8402,449,7168,8851,1.2869236469268799,11.585354566574097,38.76,1467.916515,0.000407755,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.88.101.77,active,0e13aae5-a178-48fa-8fad-5ce18aa75303
2026-05-08 21:47:45.175586,zai-org/GLM-5.1-FP8,11796,2065,1024,13861,2.4017138481140137,48.15088510513306,42.89,10670.752879,0.002964098,prorated_token_pool_weighted_multi_gpu_8,B200,8,100.88.101.77,active,0b1480d7-d73c-47a2-978e-86c9aa485108
2026-05-08 20:04:44.443438,zai-org/GLM-5.1-FP8,5127,2549,0,7676,0.5600025653839111,52.05935597419739,48.96,12108.670000,0.003363519,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.91.121.110,active,56b0af4c-c91a-4500-899b-4e651d7051e3
2026-05-08 15:12:05.813893,zai-org/GLM-5.1-FP8,18594,536,16896,19130,2.013164758682251,23.259403705596924,23.04,1969.308458,0.000547030,counter_exact_token_pool_weighted_multi_gpu_8,H200,8,100.96.162.67,active,4286d14b-c6c0-4a50-90ec-2bceaf678882
2026-05-08 14:49:00.514282,zai-org/GLM-5.1-FP8,42458,722,42368,43180,0.3194904327392578,16.9906325340271,42.49,3720.920000,0.001033589,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.91.121.110,active,0e4a8bd0-b4ca-4437-bb68-e74124c39c40
2026-05-08 14:46:58.516061,zai-org/GLM-5.1-FP8,19008,37,18944,19045,0.3713817596435547,1.1152021884918213,33.18,318.640000,0.000088511,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.88.101.77,active,4b35814d-8344-43cb-b1fe-7a8ee6568f4b
2026-05-08 14:05:11.290887,zai-org/GLM-5.1-FP8,132671,52,132608,132723,0.9832658767700195,2.032351016998291,25.59,488.929837,0.000135814,prorated_token_pool_weighted_multi_gpu_8,B200,8,100.88.101.77,active,527911d6-4a03-44cc-a43d-ebc50be72344
2026-05-08 13:44:21.376727,zai-org/GLM-5.1-FP8,26758,922,24320,27680,3.504192352294922,105.36689162254333,8.75,29509.800966,0.008197167,prorated_token_pool_weighted_multi_gpu_8,B200,8,100.88.101.77,active,ec9d2b82-85dc-492c-ba7a-97c3f81057ab
2026-05-08 13:03:26.65763,zai-org/GLM-5.1-FP8,9085,2028,256,11113,2.1263809204101562,44.739094257354736,45.33,6340.670000,0.001761297,counter_exact_token_pool_weighted_multi_gpu_8,H200,8,100.98.131.43,active,cf168341-c598-4b10-ba56-3b530ef3e98c
2026-05-08 12:26:57.776626,zai-org/GLM-5.1-FP8,83095,60,82624,83155,0.7210278511047363,1.9770829677581787,30.35,471.103621,0.000130862,prorated_token_pool_weighted_multi_gpu_8,B200,8,100.91.121.110,active,5c803229-7de8-4e99-8006-71d3a45e9b2c
2026-05-08 12:11:46.33679,zai-org/GLM-5.1-FP8,615,1225,0,1840,,28.384347200393677,43.16,1985.875022,0.000551632,prorated_token_pool_weighted_multi_gpu_8,H200,8,100.96.162.67,active,616fa533-0c7f-4a64-9f90-6dcf04ce0904
2026-05-08 09:39:40.415809,zai-org/GLM-5.1-FP8,150328,100,150272,150428,0.7306540012359619,3.79935622215271,26.32,725.588365,0.000201552,prorated_token_pool_weighted_multi_gpu_8,B200,8,100.91.121.110,active,b6308986-56fd-4ea6-bc75-b492a22bf55b
2026-05-08 09:18:35.680106,zai-org/GLM-5.1-FP8,93031,57,92672,93088,1.6396839618682861,2.921966552734375,19.51,895.627151,0.000248785,prorated_token_pool_weighted_multi_gpu_8,B200,8,100.117.156.46,active,9cb7a83f-c33b-45ab-b92b-19711fd07c08
2026-05-08 07:33:38.484298,zai-org/GLM-5.1-FP8,112098,35,111424,112133,0.6306416988372803,1.3362491130828857,26.19,259.280000,0.000072022,counter_exact_token_pool_weighted_multi_gpu_8,H200,8,100.98.131.43,active,fc4f5b22-1fa8-40df-a48d-4c41a5777ae5
2026-05-08 07:33:17.356619,zai-org/GLM-5.1-FP8,9074,1196,9024,10270,0.26239681243896484,22.51584529876709,53.12,3888.080000,0.001080022,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.91.121.110,active,5e0f08e8-f5c6-4eea-8ba9-1b49e65677e0
2026-05-08 07:24:21.610741,zai-org/GLM-5.1-FP8,41667,26,41600,41693,0.2789034843444824,0.6264698505401611,41.50,132.589076,0.000036830,prorated_multi_gpu_8,B200,8,100.91.121.110,active,4ae430c4-03b1-4ca3-a7bb-7dacd7951d65
2026-05-08 03:11:57.204172,zai-org/GLM-5.1-FP8,90430,1353,89856,91783,0.5481195449829102,28.657867193222046,47.21,4049.780000,0.001124939,counter_exact_token_pool_weighted_multi_gpu_8,H200,8,100.98.131.43,active,b6cb1138-b1c9-4307-9800-24c56a46fcfb
2026-05-08 02:44:56.418771,zai-org/GLM-5.1-FP8,120277,63,120128,120340,0.6128072738647461,1.7620046138763428,35.75,93.590000,0.000025997,counter_exact_multi_gpu_8,H200,8,100.96.162.67,active,0526aa40-fc75-4703-836f-6dc3d199f5ca
2026-05-07 23:55:47.488576,zai-org/GLM-5.1-FP8,43678,890,43008,44568,3.780701160430908,21.73087191581726,40.96,2959.670000,0.000822131,counter_exact_token_pool_weighted_multi_gpu_8,H200,8,100.96.162.67,active,1c314e01-c599-4ef7-ab23-1afefe461c06
2026-05-07 22:54:31.88016,zai-org/GLM-5.1-FP8,4353,1218,0,5571,10.900581359863281,103.51381921768188,11.77,6888.146683,0.001913374,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.91.121.110,active,89d9730d-91cc-41ac-b8f8-2026cd139768
